信用卡|0.01406239109132445 0.0015988921281072767 0.2766119962219825 0.18295058277181026 0.14350625093564284 -0.29910343281272445 -0.08614093411884789 -0.28775607402818604 0.18237194212500119 0.22174641661048264 0.041579421473143134 0.2700023648957639 -0.4056352203425992 -0.03983474334161113 0.10198725612358071 -0.232313143623804 0.47892412767538395 -0.07337274027191822 -0.2544556611391125 -0.04975572254651953
台|0.010044957153990947 0.008660005374426849 0.27764988040093924 0.1786284075910651 0.1426348167013969 -0.2751749372518821 -0.0706516877636747 -0.3083606245726669 0.17948794322857717 0.20820271681716118 0.04380824600910615 0.26465169225646146 -0.4146654825975516 -0.04959314368058343 0.1129223317711213 -0.241460579507785 0.47852358620735946 -0.079513129442382 -0.25343593919454555 -0.046477415590574285
上车|0.0068638729602073486 0.014211954973061441 0.2779255312647402 0.17490889455477138 0.141959770371248 -0.25451775439447766 -0.05744279397147934 -0.3256627709633948 0.17556779253673796 0.19690530171897072 0.04437018275795387 0.2606583675866965 -0.42214802008755503 -0.05815277335576968 0.12213043195498625 -0.2488255462300123 0.4764326509895581 -0.08500892781993416 -0.25210948594340743 -0.043882671205532825
哪里|0.0042460417367504244 0.01880899786757346 0.27790580858884073 0.17159047696322796 0.14123745122378487 -0.2372428064530135 -0.0465162999910077 -0.3395328602547275 0.1723009626459766 0.18735893857831545 0.044976861776156465 0.2569025753692865 -0.4277084766283048 -0.06510967894755919 0.1296477522217911 -0.2546516975749223 0.47436182344238365 -0.08938665629719876 -0.25077358478336015 -0.041660277026043344
发现|0.0021602684712803736 0.022438660387353263 0.27770810719863304 0.16877968429758655 0.14060692209329057 -0.22321762495821265 -0.0377262267859214 -0.35047067742975374 0.1694310689410791 0.17963446734267252 0.04531125427233668 0.2537674459102747 -0.43188432982768454 -0.07070021458663216 0.1356416899695674 -0.25918491367528185 0.47227072585520347 -0.09286412740280309 -0.24951262020993367 -0.03986999735349254
开车|0.0005233490700955356 0.025307237470169813 0.2774063619597991 0.16649192565482854 0.14004582543967684 -0.21190841445610148 -0.03067796678821513 -0.3590733043036257 0.16700147838156162 0.17340182660669382 0.04550670646705105 0.2511970415205734 -0.43504496728857445 -0.07515055340722275 0.14037817072013586 -0.2626710820830376 0.4703435820750624 -0.09563425257477619 -0.2484031519240304 -0.03843376120544186
身份证明|-0.0007943004914373619 0.027587825768073445 0.2771004073154105 0.16458979734436072 0.1395700118609221 -0.2028095339263183 -0.025041217144352892 -0.365854014007217 0.1649954044037114 0.1683831698944219 0.045635156864058876 0.24906594037109392 -0.4374413776068459 -0.07869827657690512 0.1441372337026246 -0.26540455766265275 0.4686560117010701 -0.09781260662071645 -0.24743611489202166 -0.03727529555519632
事故|-0.0018626419931525274 0.02942040920436271 0.2768025786774485 0.16300931050919207 0.13916769572958562 -0.19540360831533674 -0.020474079907158042 -0.37128576712469424 0.16331632611333052 0.16429996316449674 0.045705440912823164 0.24730816353406784 -0.439308703196997 -0.08156587291694321 0.14716221741411334 -0.26757747054440795 0.4671783560783157 -0.0995610099229457 -0.24660092996775904 -0.03633381777493756
越过|-0.002736689924885975 0.030910191230544375 0.27652672784966625 0.16169322262857952 0.13882569018226987 -0.18933019436526569 -0.01674216055923244 -0.37567929771879877 0.16191607571357813 0.16094954109798587 0.04574845182603303 0.24584605669121373 -0.4407817519183154 -0.08390116038642091 0.1496178446387899 -0.2693231824310633 0.46590517759538935 -0.10097690564603289 -0.24588576808474003 -0.03556153022601767
特殊|-0.003459589013984763 0.03213533087590508 0.27627697907809506 0.16058989334826157 0.13853400159837337 -0.1843012960075984 -0.01366121604610382 -0.3792753323045762 0.1607426200139584 0.1581735405154168 0.04577559547296836 0.24462083037467214 -0.44196203799978345 -0.08582286112228882 0.15163368331641996 -0.2707439020363545 0.46481066373215807 -0.10213678875402997 -0.24527324876020182 -0.03492171367269765
使|-0.004063569756079801 0.03315368884845861 0.27605350932127054 0.15965832146341702 0.138284147534252 -0.18009827015129723 -0.011092594522494953 -0.3822514344219736 0.1597532962552459 0.15585189269261948 0.0457933125561163 0.2435863942480755 -0.44292131865536083 -0.08742010668210583 0.15330611135310077 -0.2719140316731557 0.4638688225511925 -0.10309733856368636 -0.24474733537951296 -0.0343866048904428
有效期|-0.004572850015336647 0.03400841653233124 0.27585472946385065 0.1588662842694594 0.13806911889686008 -0.17655493938355163 -0.008931633614240451 -0.3847394535360596 0.1589139291644023 0.15389338239002046 0.04580530516755134 0.24270677778269675 -0.44371096433518137 -0.08876000936173829 0.15470716157962047 -0.2728882263429839 0.46305622579317207 -0.10390076862384943 -0.24429417043229665 -0.03393515118733902
期限|-0.005005819577693218 0.03473205320785512 0.2756783726019439 0.15818847020323284 0.1378831859306649 -0.1735441560583995 -0.007098694431421333 -0.386838330442545 0.15819738485509005 0.15222820845277552 0.04581375423181441 0.24195383500094356 -0.444368324263769 -0.08989349372895175 0.15589116913873363 -0.2737071336003555 0.4623527598000107 -0.10457881707602384 -0.2439021285952848 -0.0335512591988913
服务|-0.005376605198471316 0.035349439057202545 0.27552202297971906 0.15760491538751115 0.1377216802434855 -0.1709677230165782 -0.005532552163747351 -0.3886232248585276 0.15758212583483974 0.15080244150677932 0.045819970119305026 0.24130541113576784 -0.4449209951621387 -0.09085959728944028 0.1568995864802375 -0.27440139369638605 0.4617415365908172 -0.10515562888617956 -0.24356158614294837 -0.033222503910763215
处理|-0.00569619078915323 0.03587977594853951 0.2753833616263239 0.15709976789716182 0.1375807943992345 -0.1687490085080945 -0.004185612264364579 -0.39015195902232425 0.15705098968926826 0.1495739737565342 0.04582475264250768 0.24074393323850227 -0.4453896952681259 -0.09168857987680093 0.15776441927790466 -0.27499442159126647 0.46120851055337614 -0.10564980047653791 -0.24326461221797938 -0.032939188657684096
是否|-0.005999839323185631 0.036377623202781297 0.27525016426824056 0.15662527698436365 0.13744462375722488 -0.16667567677216474 -0.002928909205654509 -0.39156675836911115 0.1565682438036202 0.14842084722145002 0.04584055344179517 0.24021145761020837 -0.4458216481861579 -0.09245266925666222 0.15856492044346063 -0.27554168545843755 0.46071486568392733 -0.10610667733414475 -0.2429846589536996 -0.032672841761383416
分居|-0.006214918892358109 0.036736658064992496 0.2751508004378279 0.15627602182773792 0.13734884845277168 -0.1651538936584481 -0.0020065716001145192 -0.39261234654724136 0.15618865738367924 0.14758192654736463 0.04583201981486409 0.23982786055665709 -0.4461350655723353 -0.09302548267667558 0.1591585366553521 -0.27594573918545046 0.4603322809408918 -0.1064453663410959 -0.2427761545286694 -0.03247963210518474
